age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,attrition,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,genre_F,genre_M,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale
41,5993,8,8,6,4,2,3,4,1,1,3,1,11,1,0,0,1,2,1,0,5,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,5130,1,10,10,7,3,2,2,4,3,4,0,23,0,1,3,8,1,2,1,7,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,2090,6,7,0,0,4,2,3,2,3,3,1,15,1,0,3,2,2,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
33,2909,1,8,8,7,4,3,3,3,3,3,1,11,0,0,3,3,4,2,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,3468,9,6,2,2,1,3,2,4,3,3,0,12,0,1,3,2,1,1,2,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32,3068,0,8,7,7,4,3,4,3,2,3,0,13,0,0,2,2,2,2,3,6,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,2670,4,12,1,0,3,4,1,1,2,4,1,20,0,3,3,3,3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,2693,1,1,1,0,4,3,3,2,3,4,0,22,0,1,2,24,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,9526,0,10,9,7,4,2,3,2,3,4,0,21,0,0,2,23,3,2,1,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36,5237,6,17,7,7,3,3,3,2,2,3,0,13,0,2,3,27,3,1,7,7,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,2426,0,6,5,4,1,4,2,3,3,3,0,13,0,1,5,16,3,1,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,4193,0,10,9,5,4,2,3,4,3,3,1,12,0,0,3,15,2,1,0,8,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31,2911,1,5,5,2,1,3,3,4,2,3,0,17,0,1,1,26,1,1,4,3,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,2661,0,3,2,2,2,3,4,3,3,3,0,11,0,1,2,19,2,1,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,2028,5,6,4,2,3,2,3,2,3,3,1,14,1,0,4,24,3,1,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,9980,1,10,10,9,2,4,1,3,3,3,0,11,0,1,1,21,4,1,8,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32,3298,0,7,6,2,1,4,2,4,2,3,1,12,0,2,5,5,2,1,0,5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,2935,1,1,1,0,4,4,4,2,2,3,1,13,0,2,2,16,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,15427,2,31,25,8,1,2,4,3,3,3,0,16,0,0,3,2,4,1,3,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38,3944,5,6,3,2,4,3,4,3,3,3,1,11,0,0,3,2,3,1,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,4011,0,5,4,2,1,4,3,4,2,3,0,18,0,1,5,11,2,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36,3407,7,10,5,3,3,2,1,2,3,4,0,23,1,0,4,9,4,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34,11994,0,13,12,6,1,3,2,3,3,3,0,11,0,0,4,7,4,1,2,11,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21,1232,1,0,0,0,3,3,4,4,3,3,0,14,0,0,6,15,2,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,2960,2,8,4,2,2,3,1,3,3,3,0,11,1,0,2,6,1,1,1,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,19094,4,26,14,13,3,3,3,4,2,3,0,11,0,1,3,5,3,1,4,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32,3919,1,10,10,2,2,1,1,2,3,4,1,22,1,0,5,16,1,2,6,7,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,6825,0,10,9,7,3,3,2,4,3,3,0,11,0,1,2,8,4,1,4,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44,10248,3,24,22,6,1,2,4,4,3,3,0,14,0,1,4,7,4,1,5,17,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,18947,3,22,2,2,2,3,1,4,2,3,0,12,0,0,2,2,4,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
33,2496,4,7,1,1,3,3,4,4,3,3,0,11,0,0,3,2,3,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,6465,2,9,4,2,4,3,4,4,4,3,1,13,0,0,5,10,4,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
30,2206,1,10,10,0,4,2,3,1,3,3,0,13,0,0,5,9,2,1,1,8,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,2086,3,19,1,0,4,3,4,3,4,3,0,14,1,1,6,5,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
